Classifier,CV AUC (mean),CV AUC (std),Test Accuracy,Test Precision,Test Recall,Test F1,Test AUC
Random Forest,0.9884210526315791,0.02186587166088523,0.8032786885245902,0.8032786885245902,1.0,0.8909090909090909,0.7168367346938775
SVM,0.9778947368421053,0.04290684362566067,0.6885245901639344,0.7777777777777778,0.8571428571428571,0.8155339805825242,0.46768707482993194
k‑NN,0.9700131578947369,0.029001038762559488,0.7377049180327869,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.6343537414965986
Logistic Regression,0.9337894736842106,0.10397442685796934,0.7049180327868853,0.7924528301886793,0.8571428571428571,0.8235294117647058,0.6751700680272108
Decision Tree,0.8878947368421052,0.11219726889195833,0.6721311475409836,0.7843137254901961,0.8163265306122449,0.8,0.4498299319727891
